cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_5.json;48924,61;48657,97;1,0055;153,08;34;24,15
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_6.json;48825,98;48614,43;1,0044;86,13;19;12,39
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_7.json;48649,32;48391,96;1,0053;67,92;8;4,86
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_8.json;48689,98;48415,71;1,0057;79,35;3;1,50
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_9.json;48447,58;48191,43;1,0053;244,55;47;30,05
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_1.json;14281,93;14139,43;1,0101;0,00;1;0,50
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_10.json;14482,71;14331,52;1,0105;0,00;1;0,00
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_2.json;14411,63;14289,73;1,0085;0,00;1;0,00
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_3.json;14484,66;14394,07;1,0063;36,61;2;0,00
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_4.json;14468,69;14360,97;1,0075;28,92;2;0,00
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_5.json;14430,59;14318,87;1,0078;42,95;5;1,01
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_6.json;14328,49;14205,80;1,0086;1,43;2;0,00
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_7.json;14401,94;14297,81;1,0073;0,00;1;0,00
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_8.json;14448,75;14279,39;1,0119;0,00;1;0,00
LLHHLHL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHL\LLHHLHL_9.json;14407,75;14317,00;1,0063;10,90;3;0,00
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_1.json;48658,22;48498,71;1,0033;525,23;12;5,28
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_10.json;48716,87;48527,22;1,0039;269,02;12;6,18
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_2.json;48485,23;48319,10;1,0034;415,06;14;7,41
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_3.json;49168,51;48988,79;1,0037;430,91;7;4,67
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_4.json;48715,23;48492,02;1,0046;298,03;6;2,66
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_5.json;48240,96;48091,97;1,0031;385,96;14;7,19
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_6.json;48894,32;48705,53;1,0039;401,07;7;4,27
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_7.json;48781,76;48522,97;1,0053;236,21;7;4,76
LLHHLLH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLLH\LLHHLLH_8.json;48461,01;48338,08;1,0025;327,59;14;6,55
